state,anglers,fish harvested
alaska,537927,18983698
alabama,682625,1405534
california,1673633,7675679
connecticut,341995,4887402
delaware,165935,1484349
florida,3091952,190014579
georgia,828869,8682854
hawaii,156720,3010371
louisiana,824949,8869963
massachusetts,531707,19368643
maryland,426065,10717667
maine,341154,2212148
mississippi,650905,11104848
north carolina,1524578,24992733
new hampshire,228087,3963066
new jersey,766085,13743108
new york,1882280,18235791
oregon,637746,650657
rhode island,174882,2944014
south carolina,743818,16978768
texas,2246367,2035153
virginia,832641,32481958
washington,938053,421532
